alert_text,mdc_source,physioid,mdc_alert,alert_code,alert_kind,severity,source_label,source_description
** <ST Lead> Low,MDC_ECG_AMPL_ST_V,131907,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,ST-V ,ST lead V 
** <ST Lead> High,MDC_ECG_AMPL_ST_V1,131843,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,ST-V1 ,ST lead V1 
** <ST Lead> Low,MDC_ECG_AMPL_ST_V1,131843,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,ST-V1 ,ST lead V1 
** <ST Lead> High,MDC_ECG_AMPL_ST_V2,131844,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,ST-V2 ,ST lead V2 
** <ST Lead> Low,MDC_ECG_AMPL_ST_V2,131844,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,ST-V2 ,ST lead V2 
** <ST Lead> High,MDC_ECG_AMPL_ST_V3,131845,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,ST-V3 ,ST lead V3 
** <ST Lead> Low,MDC_ECG_AMPL_ST_V3,131845,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,ST-V3 ,ST lead V3 
** <ST Lead> High,MDC_ECG_AMPL_ST_V4,131846,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,ST-V4 ,ST lead V4 
** <ST Lead> Low,MDC_ECG_AMPL_ST_V4,131846,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,ST-V4 ,ST lead V4 
** <ST Lead> High,MDC_ECG_AMPL_ST_V5,131847,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,ST-V5 ,ST lead V5 
** <ST Lead> Low,MDC_ECG_AMPL_ST_V5,131847,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,ST-V5 ,ST lead V5 
** <ST Lead> High,MDC_ECG_AMPL_ST_V6,131848,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,ST-V6 ,ST lead V6 
** <ST Lead> Low,MDC_ECG_AMPL_ST_V6,131848,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,ST-V6 ,ST lead V6 
"**ST Multi <ST Lead>,<ST Lead>",MDC_ECG_AMPL_ST,131840,NOM_EVT_ST_MULTI,61756,Alarm,YELLOW_ALARM,ST ,ST Amplitude 
"**STE <ST Lead>,<ST Lead>",MDC_ECG_AMPL_ST,131840,NOM_EVT_ST_ELEVATION,62060,Alarm,YELLOW_ALARM,ST ,ST Amplitude 
Cannot Analyze ST,MDC_ECG_AMPL_ST,131840,NOM_EVT_SIG_UNANALYZEABLE,384,INOP,SOFT_INOP,ST ,ST Amplitude 
** et<Agent Label> High,MDC_CONC_AWAY_DESFL_ET,152084,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,etDES ,Desflurane Concentration - End Tidal 
** et<Agent Label> Low,MDC_CONC_AWAY_DESFL_ET,152084,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,etDES ,Desflurane Concentration - End Tidal 
et<Agent Label> Overrange,MDC_CONC_AWAY_DESFL_ET,152084,NOM_EVT_RANGE_OVER,166,INOP,HARD_INOP,etDES ,Desflurane Concentration - End Tidal 
*** etDES  HIGH,MDC_CONC_AWAY_DESFL_ET,152084,NOM_EVT_EXTR_HI,61830,Alarm,RED_ALARM,etDES ,Desflurane Concentration - End Tidal 
** et<Agent Label> High,MDC_CONC_AWAY_ENFL_ET,152088,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,etENF ,Enflurane Concentration - End Tidal 
** et<Agent Label> Low,MDC_CONC_AWAY_ENFL_ET,152088,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,etENF ,Enflurane Concentration - End Tidal 
et<Agent Label> Overrange,MDC_CONC_AWAY_ENFL_ET,152088,NOM_EVT_RANGE_OVER,166,INOP,HARD_INOP,etENF ,Enflurane Concentration - End Tidal 
*** etENF  HIGH,MDC_CONC_AWAY_ENFL_ET,152088,NOM_EVT_EXTR_HI,61830,Alarm,RED_ALARM,etENF ,Enflurane Concentration - End Tidal 
** et<Agent Label> High,MDC_CONC_AWAY_HALOTH_ET,152092,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,etHAL ,Halothane Concentration - End Tidal 
** et<Agent Label> Low,MDC_CONC_AWAY_HALOTH_ET,152092,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,etHAL ,Halothane Concentration - End Tidal 
et<Agent Label> Overrange,MDC_CONC_AWAY_HALOTH_ET,152092,NOM_EVT_RANGE_OVER,166,INOP,HARD_INOP,etHAL ,Halothane Concentration - End Tidal 
*** etHAL  HIGH,MDC_CONC_AWAY_HALOTH_ET,152092,NOM_EVT_EXTR_HI,61830,Alarm,RED_ALARM,etHAL ,Halothane Concentration - End Tidal 
** et<Agent Label> High,MDC_CONC_AWAY_ISOFL_ET,152100,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,etISO ,Gas Analyzer Isoflurane - End Tidal 
** et<Agent Label> Low,MDC_CONC_AWAY_ISOFL_ET,152100,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,etISO ,Gas Analyzer Isoflurane - End Tidal 
et<Agent Label> Overrange,MDC_CONC_AWAY_ISOFL_ET,152100,NOM_EVT_RANGE_OVER,166,INOP,HARD_INOP,etISO ,Gas Analyzer Isoflurane - End Tidal 
*** etISO  HIGH,MDC_CONC_AWAY_ISOFL_ET,152100,NOM_EVT_EXTR_HI,61830,Alarm,RED_ALARM,etISO ,Gas Analyzer Isoflurane - End Tidal 
** et<Agent Label> High,MDC_CONC_AWAY_SEVOFL_ET,152096,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,etSEV ,Gas Analyzer Sevoflurane - End Tidal 
** et<Agent Label> Low,MDC_CONC_AWAY_SEVOFL_ET,152096,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,etSEV ,Gas Analyzer Sevoflurane - End Tidal 
et<Agent Label> Overrange,MDC_CONC_AWAY_SEVOFL_ET,152096,NOM_EVT_RANGE_OVER,166,INOP,HARD_INOP,etSEV ,Gas Analyzer Sevoflurane - End Tidal 
*** etSEV  HIGH,MDC_CONC_AWAY_SEVOFL_ET,152096,NOM_EVT_EXTR_HI,61830,Alarm,RED_ALARM,etSEV ,Gas Analyzer Sevoflurane - End Tidal 
** in<Agent Label> High,MDC_CONC_AWAY_DESFL_INSP,152168,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,inDES ,Desflurane Concentration - Inspired 
** in<Agent Label> Low,MDC_CONC_AWAY_DESFL_INSP,152168,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,inDES ,Desflurane Concentration - Inspired 
in<Agent Label> Overrange,MDC_CONC_AWAY_DESFL_INSP,152168,NOM_EVT_RANGE_OVER,166,INOP,HARD_INOP,inDES ,Desflurane Concentration - Inspired 
*** inDES  High,MDC_CONC_AWAY_DESFL_INSP,152168,NOM_EVT_EXTR_HI,61830,Alarm,RED_ALARM,inDES ,Desflurane Concentration - Inspired 
** in<Agent Label> High,MDC_CONC_AWAY_ENFL_INSP,152172,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,inENF ,Enflurane Concentration - Inspired 
** in<Agent Label> Low,MDC_CONC_AWAY_ENFL_INSP,152172,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,inENF ,Enflurane Concentration - Inspired 
in<Agent Label> Overrange,MDC_CONC_AWAY_ENFL_INSP,152172,NOM_EVT_RANGE_OVER,166,INOP,HARD_INOP,inENF ,Enflurane Concentration - Inspired 
*** inENF  High,MDC_CONC_AWAY_ENFL_INSP,152172,NOM_EVT_EXTR_HI,61830,Alarm,RED_ALARM,inENF ,Enflurane Concentration - Inspired 
** in<Agent Label> High,MDC_CONC_AWAY_HALOTH_INSP,152176,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,inHAL ,Halothane Concentration - Inspired 
** in<Agent Label> Low,MDC_CONC_AWAY_HALOTH_INSP,152176,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,inHAL ,Halothane Concentration - Inspired 
in<Agent Label> Overrange,MDC_CONC_AWAY_HALOTH_INSP,152176,NOM_EVT_RANGE_OVER,166,INOP,HARD_INOP,inHAL ,Halothane Concentration - Inspired 
*** inHAL  High,MDC_CONC_AWAY_HALOTH_INSP,152176,NOM_EVT_EXTR_HI,61830,Alarm,RED_ALARM,inHAL ,Halothane Concentration - Inspired 
** in<Agent Label> High,MDC_CONC_AWAY_ISOFL_INSP,152184,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,inISO ,Gas Analyzer Isoflurane - Inspired 
** in<Agent Label> Low,MDC_CONC_AWAY_ISOFL_INSP,152184,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,inISO ,Gas Analyzer Isoflurane - Inspired 
in<Agent Label> Overrange,MDC_CONC_AWAY_ISOFL_INSP,152184,NOM_EVT_RANGE_OVER,166,INOP,HARD_INOP,inISO ,Gas Analyzer Isoflurane - Inspired 
*** inISO  High,MDC_CONC_AWAY_ISOFL_INSP,152184,NOM_EVT_EXTR_HI,61830,Alarm,RED_ALARM,inISO ,Gas Analyzer Isoflurane - Inspired 
** in<Agent Label> High,MDC_CONC_AWAY_SEVOFL_INSP,152180,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,inSEV ,Sevoflurane Concentration - Inspired 
** in<Agent Label> Low,MDC_CONC_AWAY_SEVOFL_INSP,152180,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,inSEV ,Sevoflurane Concentration - Inspired 
in<Agent Label> Overrange,MDC_CONC_AWAY_SEVOFL_INSP,152180,NOM_EVT_RANGE_OVER,166,INOP,HARD_INOP,inSEV ,Sevoflurane Concentration - Inspired 
*** inSEV  High,MDC_CONC_AWAY_SEVOFL_INSP,152180,NOM_EVT_EXTR_HI,61830,Alarm,RED_ALARM,inSEV ,Sevoflurane Concentration - Inspired 
** inN2O High,MDC_CONC_AWAY_N2O_INSP,152192,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,inN2O ,Gas Analyzer Nitrous Oxide - Inspired 
*** inN2O  High,MDC_CONC_AWAY_N2O_INSP,152192,NOM_EVT_EXTR_HI,61830,Alarm,RED_ALARM,inN2O ,Gas Analyzer Nitrous Oxide - Inspired 
** inO2 High,MDC_CONC_AWAY_O2_INSP,152196,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,inO2 ,Oxygen Concentration - Inspired 
** inO2 Low,MDC_CONC_AWAY_O2_INSP,152196,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,inO2 ,Oxygen Concentration - Inspired 
***inO2 Low Oxygen,MDC_CONC_AWAY_O2_INSP,152196,NOM_EVT_O2_SUPPLY_LO,296,Alarm,RED_ALARM,inO2 ,Oxygen Concentration - Inspired 
!!! inO2 LOW,MDC_CONC_AWAY_O2_INSP,152196,NOM_EVT_EXT_DEV_AL_CODE_50,61932,INOP,RED_ALARM,inO2 ,Oxygen Concentration - Inspired 
!! inO2   HIGH,MDC_CONC_AWAY_O2_INSP,152196,NOM_EVT_EXT_DEV_AL_CODE_80,61992,INOP,YELLOW_ALARM,inO2 ,Oxygen Concentration - Inspired 
!!! inO2   Low,MDC_CONC_AWAY_O2_INSP,152196,NOM_EVT_EXT_DEV_AL_CODE_85,62002,INOP,RED_ALARM,inO2 ,Oxygen Concentration - Inspired 
!! inO2   High,MDC_CONC_AWAY_O2_INSP,152196,NOM_EVT_EXT_DEV_AL_CODE_84,62000,INOP,YELLOW_ALARM,inO2 ,Oxygen Concentration - Inspired 
inO2   High,MDC_CONC_AWAY_O2_INSP,152196,NOM_EVT_EXT_DEV_AL_CODE_51,61934,INOP,HARD_INOP,inO2 ,Oxygen Concentration - Inspired 
<Agent Label> Change Scale,MDC_CONC_AWAY_AGENT,152456,NOM_EVT_ADVIS_CHANGE_SCALE,61770,INOP,SOFT_INOP,AGT ,Gas Analyzer Agent 
<Agent Label> Meas Disturbed,MDC_CONC_AWAY_AGENT,152456,NOM_EVT_DISTURB,24,INOP,HARD_INOP,AGT ,Gas Analyzer Agent 
<Agent Label> Unable To Meas,MDC_CONC_AWAY_AGENT,152456,NOM_EVT_MSMT_INOP,358,INOP,HARD_INOP,AGT ,Gas Analyzer Agent 
Agent Mixture,MDC_CONC_AWAY_AGENT,152456,NOM_EVT_AGENT_MIX,61788,INOP,SOFT_INOP,AGT ,Gas Analyzer Agent 
AGT ID Malfunction,MDC_CONC_AWAY_AGENT,152456,NOM_EVT_GAS_AGENT_IDENT_MALF,258,INOP,HARD_INOP,AGT ,Gas Analyzer Agent 
AGT ID Malfunction,MDC_CONC_AWAY_AGENT,152456,NOM_EVT_MALF,70,INOP,SOFT_INOP,AGT ,Gas Analyzer Agent 
AGT ID Zero Failed,MDC_CONC_AWAY_AGENT,152456,NOM_EVT_CALIB_FAIL,138,INOP,HARD_INOP,AGT ,Gas Analyzer Agent 
Check Agent,MDC_CONC_AWAY_AGENT,152456,NOM_EVT_ADVIS_GAS_AGENT_CHK,6688,INOP,HARD_INOP,AGT ,Gas Analyzer Agent 
Gas Contaminant,MDC_CONC_AWAY_AGENT,152456,NOM_EVT_CONTAM,14,INOP,SOFT_INOP,AGT ,Gas Analyzer Agent 
<Agent Label> Change Scale,MDC_CONC_AWAY_DESFL,152024,NOM_EVT_ADVIS_CHANGE_SCALE,61770,INOP,SOFT_INOP,DES ,Gas Analyzer Desflurane 
<Agent Label> Meas Disturbed,MDC_CONC_AWAY_DESFL,152024,NOM_EVT_DISTURB,24,INOP,HARD_INOP,DES ,Gas Analyzer Desflurane 
<Agent Label> Unable To Meas,MDC_CONC_AWAY_DESFL,152024,NOM_EVT_MSMT_INOP,358,INOP,HARD_INOP,DES ,Gas Analyzer Desflurane 
Agent Mixture,MDC_CONC_AWAY_DESFL,152024,NOM_EVT_AGENT_MIX,61788,INOP,SOFT_INOP,DES ,Gas Analyzer Desflurane 
AGT ID Malfunction,MDC_CONC_AWAY_DESFL,152024,NOM_EVT_GAS_AGENT_IDENT_MALF,258,INOP,HARD_INOP,DES ,Gas Analyzer Desflurane 
AGT ID Malfunction,MDC_CONC_AWAY_DESFL,152024,NOM_EVT_MALF,70,INOP,SOFT_INOP,DES ,Gas Analyzer Desflurane 
AGT ID Zero Failed,MDC_CONC_AWAY_DESFL,152024,NOM_EVT_CALIB_FAIL,138,INOP,HARD_INOP,DES ,Gas Analyzer Desflurane 
Check Agent,MDC_CONC_AWAY_DESFL,152024,NOM_EVT_ADVIS_GAS_AGENT_CHK,6688,INOP,HARD_INOP,DES ,Gas Analyzer Desflurane 
Gas Contaminant,MDC_CONC_AWAY_DESFL,152024,NOM_EVT_CONTAM,14,INOP,SOFT_INOP,DES ,Gas Analyzer Desflurane 
<Agent Label> Change Scale,MDC_CONC_AWAY_ENFL,152028,NOM_EVT_ADVIS_CHANGE_SCALE,61770,INOP,SOFT_INOP,ENF ,Gas Analyzer Enflurane 
<Agent Label> Meas Disturbed,MDC_CONC_AWAY_ENFL,152028,NOM_EVT_DISTURB,24,INOP,HARD_INOP,ENF ,Gas Analyzer Enflurane 
<Agent Label> Unable To Meas,MDC_CONC_AWAY_ENFL,152028,NOM_EVT_MSMT_INOP,358,INOP,HARD_INOP,ENF ,Gas Analyzer Enflurane 
Agent Mixture,MDC_CONC_AWAY_ENFL,152028,NOM_EVT_AGENT_MIX,61788,INOP,SOFT_INOP,ENF ,Gas Analyzer Enflurane 
AGT ID Malfunction,MDC_CONC_AWAY_ENFL,152028,NOM_EVT_GAS_AGENT_IDENT_MALF,258,INOP,HARD_INOP,ENF ,Gas Analyzer Enflurane 
AGT ID Malfunction,MDC_CONC_AWAY_ENFL,152028,NOM_EVT_MALF,70,INOP,SOFT_INOP,ENF ,Gas Analyzer Enflurane 
AGT ID Zero Failed,MDC_CONC_AWAY_ENFL,152028,NOM_EVT_CALIB_FAIL,138,INOP,HARD_INOP,ENF ,Gas Analyzer Enflurane 
Check Agent,MDC_CONC_AWAY_ENFL,152028,NOM_EVT_ADVIS_GAS_AGENT_CHK,6688,INOP,HARD_INOP,ENF ,Gas Analyzer Enflurane 
Gas Contaminant,MDC_CONC_AWAY_ENFL,152028,NOM_EVT_CONTAM,14,INOP,SOFT_INOP,ENF ,Gas Analyzer Enflurane 
<Agent Label> Change Scale,MDC_CONC_AWAY_HALOTH,152032,NOM_EVT_ADVIS_CHANGE_SCALE,61770,INOP,SOFT_INOP,HAL ,Gas Analyzer Halothane 
<Agent Label> Meas Disturbed,MDC_CONC_AWAY_HALOTH,152032,NOM_EVT_DISTURB,24,INOP,HARD_INOP,HAL ,Gas Analyzer Halothane 
<Agent Label> Unable To Meas,MDC_CONC_AWAY_HALOTH,152032,NOM_EVT_MSMT_INOP,358,INOP,HARD_INOP,HAL ,Gas Analyzer Halothane 
Agent Mixture,MDC_CONC_AWAY_HALOTH,152032,NOM_EVT_AGENT_MIX,61788,INOP,SOFT_INOP,HAL ,Gas Analyzer Halothane 
AGT ID Malfunction,MDC_CONC_AWAY_HALOTH,152032,NOM_EVT_GAS_AGENT_IDENT_MALF,258,INOP,HARD_INOP,HAL ,Gas Analyzer Halothane 
AGT ID Malfunction,MDC_CONC_AWAY_HALOTH,152032,NOM_EVT_MALF,70,INOP,SOFT_INOP,HAL ,Gas Analyzer Halothane 
AGT ID Zero Failed,MDC_CONC_AWAY_HALOTH,152032,NOM_EVT_CALIB_FAIL,138,INOP,HARD_INOP,HAL ,Gas Analyzer Halothane 
Check Agent,MDC_CONC_AWAY_HALOTH,152032,NOM_EVT_ADVIS_GAS_AGENT_CHK,6688,INOP,HARD_INOP,HAL ,Gas Analyzer Halothane 
Gas Contaminant,MDC_CONC_AWAY_HALOTH,152032,NOM_EVT_CONTAM,14,INOP,SOFT_INOP,HAL ,Gas Analyzer Halothane 
<Agent Label> Change Scale,MDC_CONC_AWAY_ISOFL,152040,NOM_EVT_ADVIS_CHANGE_SCALE,61770,INOP,SOFT_INOP,ISO ,Gas Analyzer Isoflurane 
<Agent Label> Meas Disturbed,MDC_CONC_AWAY_ISOFL,152040,NOM_EVT_DISTURB,24,INOP,HARD_INOP,ISO ,Gas Analyzer Isoflurane 
<Agent Label> Unable To Meas,MDC_CONC_AWAY_ISOFL,152040,NOM_EVT_MSMT_INOP,358,INOP,HARD_INOP,ISO ,Gas Analyzer Isoflurane 
Agent Mixture,MDC_CONC_AWAY_ISOFL,152040,NOM_EVT_AGENT_MIX,61788,INOP,SOFT_INOP,ISO ,Gas Analyzer Isoflurane 
AGT ID Malfunction,MDC_CONC_AWAY_ISOFL,152040,NOM_EVT_GAS_AGENT_IDENT_MALF,258,INOP,HARD_INOP,ISO ,Gas Analyzer Isoflurane 
AGT ID Malfunction,MDC_CONC_AWAY_ISOFL,152040,NOM_EVT_MALF,70,INOP,SOFT_INOP,ISO ,Gas Analyzer Isoflurane 
AGT ID Zero Failed,MDC_CONC_AWAY_ISOFL,152040,NOM_EVT_CALIB_FAIL,138,INOP,HARD_INOP,ISO ,Gas Analyzer Isoflurane 
Check Agent,MDC_CONC_AWAY_ISOFL,152040,NOM_EVT_ADVIS_GAS_AGENT_CHK,6688,INOP,HARD_INOP,ISO ,Gas Analyzer Isoflurane 
Gas Contaminant,MDC_CONC_AWAY_ISOFL,152040,NOM_EVT_CONTAM,14,INOP,SOFT_INOP,ISO ,Gas Analyzer Isoflurane 
<Agent Label> Change Scale,MDC_CONC_AWAY_SEVOFL,152036,NOM_EVT_ADVIS_CHANGE_SCALE,61770,INOP,SOFT_INOP,SEV ,Gas Analyzer Sevoflurane 
<Agent Label> Meas Disturbed,MDC_CONC_AWAY_SEVOFL,152036,NOM_EVT_DISTURB,24,INOP,HARD_INOP,SEV ,Gas Analyzer Sevoflurane 
<Agent Label> Unable To Meas,MDC_CONC_AWAY_SEVOFL,152036,NOM_EVT_MSMT_INOP,358,INOP,HARD_INOP,SEV ,Gas Analyzer Sevoflurane 
Agent Mixture,MDC_CONC_AWAY_SEVOFL,152036,NOM_EVT_AGENT_MIX,61788,INOP,SOFT_INOP,SEV ,Gas Analyzer Sevoflurane 
AGT ID Malfunction,MDC_CONC_AWAY_SEVOFL,152036,NOM_EVT_GAS_AGENT_IDENT_MALF,258,INOP,HARD_INOP,SEV ,Gas Analyzer Sevoflurane 
AGT ID Malfunction,MDC_CONC_AWAY_SEVOFL,152036,NOM_EVT_MALF,70,INOP,SOFT_INOP,SEV ,Gas Analyzer Sevoflurane 
AGT ID Zero Failed,MDC_CONC_AWAY_SEVOFL,152036,NOM_EVT_CALIB_FAIL,138,INOP,HARD_INOP,SEV ,Gas Analyzer Sevoflurane 
Check Agent,MDC_CONC_AWAY_SEVOFL,152036,NOM_EVT_ADVIS_GAS_AGENT_CHK,6688,INOP,HARD_INOP,SEV ,Gas Analyzer Sevoflurane 
Gas Contaminant,MDC_CONC_AWAY_SEVOFL,152036,NOM_EVT_CONTAM,14,INOP,SOFT_INOP,SEV ,Gas Analyzer Sevoflurane 
MAC Check Sources,NOM_CONC_AWAY_MAC,192665,NOM_EVT_ADVIS_SRC_CHK,6672,INOP,HARD_INOP,MAC ,Minimum Alveolar Concentration 
MAC Correction?,NOM_CONC_AWAY_MAC,192665,NOM_EVT_ADVIS_CONFIG_CHK,6666,INOP,SOFT_INOP,MAC ,Minimum Alveolar Concentration 
N2O Change Scale,MDC_CONC_AWAY_N2O,152048,NOM_EVT_ADVIS_CHANGE_SCALE,61770,INOP,SOFT_INOP,N2O ,Gas Analyzer Nitrous Oxide 
N2O Meas Disturbed,MDC_CONC_AWAY_N2O,152048,NOM_EVT_DISTURB,24,INOP,HARD_INOP,N2O ,Gas Analyzer Nitrous Oxide 
N2O Overrange,MDC_CONC_AWAY_N2O,152048,NOM_EVT_RANGE_OVER,166,INOP,HARD_INOP,N2O ,Gas Analyzer Nitrous Oxide 
N2O Unable To Meas,MDC_CONC_AWAY_N2O,152048,NOM_EVT_MSMT_INOP,358,INOP,HARD_INOP,N2O ,Gas Analyzer Nitrous Oxide 
O2 Change Scale,MDC_CONC_AWAY_O2,151908,NOM_EVT_ADVIS_CHANGE_SCALE,61770,INOP,SOFT_INOP,O2 ,Airway Oxygen 
O2 Meas Disturbed,MDC_CONC_AWAY_O2,151908,NOM_EVT_DISTURB,24,INOP,HARD_INOP,O2 ,Airway Oxygen 
O2 Overrange,MDC_CONC_AWAY_O2,151908,NOM_EVT_RANGE_OVER,166,INOP,HARD_INOP,O2 ,Airway Oxygen 
O2 Sensor Malfunct,MDC_CONC_AWAY_O2,151908,NOM_EVT_MALF,70,INOP,HARD_INOP,O2 ,Airway Oxygen 
O2 Unable To Meas,MDC_CONC_AWAY_O2,151908,NOM_EVT_MSMT_INOP,358,INOP,HARD_INOP,O2 ,Airway Oxygen 
O2 Zero Failed,MDC_CONC_AWAY_O2,151908,NOM_EVT_CALIB_FAIL,138,INOP,HARD_INOP,O2 ,Airway Oxygen 
** <iTemp Label> High,NOM_TEMP_AXIL_INFRARED,195405,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,iTaxil,Axillary Temperature (infrared)
** <iTemp Label> Low,NOM_TEMP_AXIL_INFRARED,195405,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,iTaxil,Axillary Temperature (infrared)
<iTemp Label> Cal Required,NOM_TEMP_AXIL_INFRARED,195405,NOM_EVT_ADVIS_CALIB_REQD,6662,INOP,HARD_INOP,iTaxil,Axillary Temperature (infrared)
<iTemp Label> Malfunction,NOM_TEMP_AXIL_INFRARED,195405,NOM_EVT_EQUIP_MALF,242,INOP,HARD_INOP,iTaxil,Axillary Temperature (infrared)
<iTemp Label> Meas Failed,NOM_TEMP_AXIL_INFRARED,195405,NOM_EVT_MSMT_FAIL,356,INOP,HARD_INOP,iTaxil,Axillary Temperature (infrared)
<iTemp Label> Overrange,NOM_TEMP_AXIL_INFRARED,195405,NOM_EVT_MSMT_RANGE_OVER,364,INOP,HARD_INOP,iTaxil,Axillary Temperature (infrared)
<iTemp Label> Overrange,NOM_TEMP_AXIL_INFRARED,195405,NOM_EVT_MSMT_RANGE_UNDER,366,INOP,HARD_INOP,iTaxil,Axillary Temperature (infrared)
** <iTemp Label> High,NOM_TEMP_CORE_INFRARED,195407,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,iTcore,Core Temperature (infrared)
** <iTemp Label> Low,NOM_TEMP_CORE_INFRARED,195407,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,iTcore,Core Temperature (infrared)
<iTemp Label> Cal Required,NOM_TEMP_CORE_INFRARED,195407,NOM_EVT_ADVIS_CALIB_REQD,6662,INOP,HARD_INOP,iTcore,Core Temperature (infrared)
<iTemp Label> Malfunction,NOM_TEMP_CORE_INFRARED,195407,NOM_EVT_EQUIP_MALF,242,INOP,HARD_INOP,iTcore,Core Temperature (infrared)
<iTemp Label> Meas Failed,NOM_TEMP_CORE_INFRARED,195407,NOM_EVT_MSMT_FAIL,356,INOP,HARD_INOP,iTcore,Core Temperature (infrared)
<iTemp Label> Overrange,NOM_TEMP_CORE_INFRARED,195407,NOM_EVT_MSMT_RANGE_OVER,364,INOP,HARD_INOP,iTcore,Core Temperature (infrared)
<iTemp Label> Overrange,NOM_TEMP_CORE_INFRARED,195407,NOM_EVT_MSMT_RANGE_UNDER,366,INOP,HARD_INOP,iTcore,Core Temperature (infrared)
** <iTemp Label> High,NOM_TEMP_ORAL_INFRARED,195404,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,iToral,Oral Temperature (infrared)
** <iTemp Label> Low,NOM_TEMP_ORAL_INFRARED,195404,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,iToral,Oral Temperature (infrared)
<iTemp Label> Cal Required,NOM_TEMP_ORAL_INFRARED,195404,NOM_EVT_ADVIS_CALIB_REQD,6662,INOP,HARD_INOP,iToral,Oral Temperature (infrared)
<iTemp Label> Malfunction,NOM_TEMP_ORAL_INFRARED,195404,NOM_EVT_EQUIP_MALF,242,INOP,HARD_INOP,iToral,Oral Temperature (infrared)
<iTemp Label> Meas Failed,NOM_TEMP_ORAL_INFRARED,195404,NOM_EVT_MSMT_FAIL,356,INOP,HARD_INOP,iToral,Oral Temperature (infrared)
<iTemp Label> Overrange,NOM_TEMP_ORAL_INFRARED,195404,NOM_EVT_MSMT_RANGE_OVER,364,INOP,HARD_INOP,iToral,Oral Temperature (infrared)
<iTemp Label> Overrange,NOM_TEMP_ORAL_INFRARED,195404,NOM_EVT_MSMT_RANGE_UNDER,366,INOP,HARD_INOP,iToral,Oral Temperature (infrared)
** <iTemp Label> High,NOM_TEMP_RECT_INFRARED,195406,NOM_EVT_HI,40,Alarm,YELLOW_ALARM,iTrect,Rectal Temperature (infrared)
** <iTemp Label> Low,NOM_TEMP_RECT_INFRARED,195406,NOM_EVT_LO,62,Alarm,YELLOW_ALARM,iTrect,Rectal Temperature (infrared)
<iTemp Label> Cal Required,NOM_TEMP_RECT_INFRARED,195406,NOM_EVT_ADVIS_CALIB_REQD,6662,INOP,HARD_INOP,iTrect,Rectal Temperature (infrared)
<iTemp Label> Malfunction,NOM_TEMP_RECT_INFRARED,195406,NOM_EVT_EQUIP_MALF,242,INOP,HARD_INOP,iTrect,Rectal Temperature (infrared)
<iTemp Label> Meas Failed,NOM_TEMP_RECT_INFRARED,195406,NOM_EVT_MSMT_FAIL,356,INOP,HARD_INOP,iTrect,Rectal Temperature (infrared)
<iTemp Label> Overrange,NOM_TEMP_RECT_INFRARED,195406,NOM_EVT_MSMT_RANGE_OVER,364,INOP,HARD_INOP,iTrect,Rectal Temperature (infrared)
<iTemp Label> Overrange,NOM_TEMP_RECT_INFRARED,195406,NOM_EVT_MSMT_RANGE_UNDER,366,INOP,HARD_INOP,iTrect,Rectal Temperature (infrared)
